Ticker,year,total_assets,current_assets,current_liabilities,total_liabilities,total_debt,total_equity,revenue,gross_profit,ebit,interest_expense,net_income,operating_cash_flow,capital_expenditures,price_close,shares_outstanding,eps_basic,bvps,dividend_per_share
AB.PS,2015,653032403,184845834,14256356,14256356,0,638776047,0,0,-21927639,0,-17812848,-13466756,0,11.78,2545000000,-0.01573,0.250992553,0
AB.PS,2016,654458071,159039881,2113181,2113181,0,652344890,0,0,-18690458,0,-14606309,-27438082,37812,10.38,2545000000,-0.01311,0.256324122,0
AB.PS,2017,637437447,54625748,2411632,2411632,0,635025815,0,0,-7836824,0,-5473191,-4352975,0,15,2545000000,-0.00755,0.249518984,0
AB.PS,2018,673723605,52489049,2720860,2720860,0,671002745,0,0,-5548469,0,-2463547,-26060229,0,15.48,2545000000,-0.00602,0.263655303,0
AB.PS,2019,585063429,47735266,1005006,1005006,0,584058423,0,0,-5412465,0,-3051752,21224373,0,10.96,2545000000,-0.01941,0.229492504,0
AB.PS,2020,529861584,26857178,8861864,8861864,0,520999720,0,0,-5076924,0,-3296254,-3764871,45550,7.99,2545000000,-0.00409,0.204715018,0
AB.PS,2021,843862308,301295586,1091061,1132649,0,842729659,0,0,-5338223,0,-3234909,-3615376,0,6.05,2545000000,-0.01174,0.331131497,0
AB.PS,2022,936885540,244284000,1171766,1192734,0,935692806,0,0,-4468169,0,-1835011,-2992889,0,7.48,2545000000,0.0004,0.367659256,0
AB.PS,2023,909740221,207913279,1358470,1358470,0,908381751,0,0,-6254211,0,-3137331,-2604209,0,5.32,2545000000,-0.00781,0.356927997,0
AB.PS,2024,951950195,206608968,3383458,3383458,0,948566737,0,0,-6207913,0,-3329299,-2437537,0,5.44,2545000000,0.00077,0.372717775,0
ABA.PS,2015,7282749211,236928245,102541634,1556517256,56000000,5625846886,671389,671389,-73960067,5869375,631843653,54358614,347682605,0.345455,3504530936,0.19543,1.60530667,0
ABA.PS,2016,7591408347,241691889,235586321,1758591591,145500000,5732271127,575222,575222,-61921822,7501368,99546684,-33245235,71594451,0.377273,3504530936,0.03142,1.635674283,0
ABA.PS,2017,7655157260,288649111,413739872,1845738638,178800000,5707194063,962249,962249,-89487629,12815639,-61519649,-14633285,61272159,0.281818,3504530953,-0.01157,1.628518663,0
ABA.PS,2018,11714080450,569649730,404394779,2727450897,164750000,8881890991,4754964,4754964,-90031474,14211726,3305527484,-401166603,30375158,0.554546,3504530953,1.01285,2.53440221,0
ABA.PS,2019,11998228899,495907016,695342395,2143672545,152169300,9795944556,1801132,1801132,-70554372,14633115,600369101,24828058,29042248,0.781818,3504530953,0.19348,2.795222724,0
ABA.PS,2020,11952452138,474244530,475267446,1958687596,138044600,9915326444,824048,824048,-66135657,13791606,-78918809,-17805788,8111773,0.64,3504678237,-0.02768,2.829168835,0
ABA.PS,2021,17567614930,1172124527,397649554,2356926324,115251133,15165262501,590088,590088,-107143187,11203835,4574076319,-616630148,9836361,0.92,4504527447,1.19929,3.366671128,0
ABA.PS,2022,19509850232,1250482193,891596167,3135790116,90000000,16317434851,535976,535976,-84751226,8656818,2008595632,685343929,2449611,2.08,4504527447,0.46414,3.622452087,0
ABA.PS,2023,23288638023,850515436,1621176597,4159938183,73600000,19012067346,1876437,1876437,-154172634,7645753,2424838606,1062039930,1866701092,0.85,4504527447,0.56238,4.220657454,0
ABA.PS,2024,26626080811,684939635,1525237968,4768900102,122113710,21633772356,704117,704117,-154349095,8238692,2648538530,-269014050,79526407,0.53,4504527420,0.6037,4.802673031,0
ABG.PS,2015,73732553,73732553,4680596,4680596,0,69051957,3133361,3133361,1306537,,1775659,7925094,0,10.28,200000000,0.00888,0.345259785,0
ABG.PS,2016,210510036,195510036,37596932,37596932,0,172913104,0,0,-1970556,,-1270837,-1182014,0,19.6,200000000,-0.00635,0.86456552,0
ABG.PS,2017,270444349,270444349,922456,922456,0,269521893,0,0,-3890089,,-3391211,-3430422,0,17.36,300000000,-0.0113,0.89840631,0
ABG.PS,2018,268940242,268940242,1074892,1074892,0,267865350,0,0,-1873885,,-1656543,-1564149,0,26,300000000,-0.006,0.8928845,0
ABG.PS,2019,270026980,270026980,4902027,4902027,0,265124953,0,0,-6645991,,-2740397,-1165752,0,10.46,300000000,-0.00913,0.883749843,0
ABG.PS,2020,263720555,263720555,1115581,1115581,0,262604974,0,0,-6893460,4380000,-2519979,-6394093,0,10.38,300000000,-0.0084,0.875349913,0
ABG.PS,2021,259279826,259279826,1200619,1200619,0,258079207,0,0,-6571484,2050000,-4525767,-5110125,0,5.9,300000000,-0.01509,0.860264023,0
ABG.PS,2022,262794881,262794881,8733096,8733096,0,254061785,0,0,-6431188,2410000,-4017422,-934793,0,3.53,300000000,-0.01339,0.846872617,0
ABG.PS,2023,256854596,256854596,5019402,5019402,0,251835194,0,0,-8901465,6570000,-2226591,-5930803,0,3.01,300000000,-0.00742,0.839450647,0
